Date,Location,Screen Time,App1,App1 Time,App2,App2 Time,App3,App3 Time,App4,App4 Time,App5,App5 Time
2023-10-01,Home,4.0,YouTube,0.8,WhatsApp,0.72,TikTok,0.64,Browser,0.56,Instagram,0.48
2023-10-02,University,6.0,WhatsApp,1.2,TikTok,1.08,Browser,0.96,Instagram,0.84,YouTube,0.72
2023-10-03,Home,3.0,TikTok,0.6,Browser,0.54,Instagram,0.48,YouTube,0.42,WhatsApp,0.36
2023-10-04,University,5.0,Browser,1.0,Instagram,0.9,YouTube,0.8,WhatsApp,0.7,TikTok,0.6
2023-10-05,Home,5.0,Instagram,1.0,YouTube,0.9,WhatsApp,0.8,TikTok,0.7,Browser,0.6
2023-10-06,University,4.0,YouTube,0.8,WhatsApp,0.72,TikTok,0.64,Browser,0.56,Instagram,0.48
2023-10-07,Home,4.0,WhatsApp,0.8,TikTok,0.72,Browser,0.64,Instagram,0.56,YouTube,0.48
2023-10-08,University,6.0,TikTok,1.2,Browser,1.08,Instagram,0.96,YouTube,0.84,WhatsApp,0.72
2023-10-09,Home,3.0,Browser,0.6,Instagram,0.54,YouTube,0.48,WhatsApp,0.42,TikTok,0.36
2023-10-10,University,5.0,Instagram,1.0,YouTube,0.9,WhatsApp,0.8,TikTok,0.7,Browser,0.6
2023-10-11,Home,5.0,YouTube,1.0,WhatsApp,0.9,TikTok,0.8,Browser,0.7,Instagram,0.6
2023-10-12,University,4.0,WhatsApp,0.8,TikTok,0.72,Browser,0.64,Instagram,0.56,YouTube,0.48
2023-10-13,Home,4.0,TikTok,0.8,Browser,0.72,Instagram,0.64,YouTube,0.56,WhatsApp,0.48
2023-10-14,University,6.0,Browser,1.2,Instagram,1.08,YouTube,0.96,WhatsApp,0.84,TikTok,0.72
2023-10-15,Home,3.0,Instagram,0.6,YouTube,0.54,WhatsApp,0.48,TikTok,0.42,Browser,0.36
2023-10-16,University,5.0,YouTube,1.0,WhatsApp,0.9,TikTok,0.8,Browser,0.7,Instagram,0.6
2023-10-17,Home,5.0,WhatsApp,1.0,TikTok,0.9,Browser,0.8,Instagram,0.7,YouTube,0.6
2023-10-18,University,4.0,TikTok,0.8,Browser,0.72,Instagram,0.64,YouTube,0.56,WhatsApp,0.48
2023-10-19,Home,4.0,Browser,0.8,Instagram,0.72,YouTube,0.64,WhatsApp,0.56,TikTok,0.48
2023-10-20,University,6.0,Instagram,1.2,YouTube,1.08,WhatsApp,0.96,TikTok,0.84,Browser,0.72
2023-10-21,Home,3.0,YouTube,0.6,WhatsApp,0.54,TikTok,0.48,Browser,0.42,Instagram,0.36
2023-10-22,University,5.0,WhatsApp,1.0,TikTok,0.9,Browser,0.8,Instagram,0.7,YouTube,0.6
2023-10-23,Home,5.0,TikTok,1.0,Browser,0.9,Instagram,0.8,YouTube,0.7,WhatsApp,0.6
2023-10-24,University,4.0,Browser,0.8,Instagram,0.72,YouTube,0.64,WhatsApp,0.56,TikTok,0.48
2023-10-25,Home,4.0,Instagram,0.8,YouTube,0.72,WhatsApp,0.64,TikTok,0.56,Browser,0.48
2023-10-26,University,6.0,YouTube,1.2,WhatsApp,1.08,TikTok,0.96,Browser,0.84,Instagram,0.72
2023-10-27,Home,3.0,WhatsApp,0.6,TikTok,0.54,Browser,0.48,Instagram,0.42,YouTube,0.36
2023-10-28,University,5.0,TikTok,1.0,Browser,0.9,Instagram,0.8,YouTube,0.7,WhatsApp,0.6
2023-10-29,Home,5.0,Browser,1.0,Instagram,0.9,YouTube,0.8,WhatsApp,0.7,TikTok,0.6
2023-10-30,University,4.0,Instagram,0.8,YouTube,0.72,WhatsApp,0.64,TikTok,0.56,Browser,0.48
2023-10-31,Home,4.0,YouTube,0.8,WhatsApp,0.72,TikTok,0.64,Browser,0.56,Instagram,0.48
2023-11-01,Home,4.0,YouTube,0.8,WhatsApp,0.72,TikTok,0.64,Browser,0.56,Instagram,0.48
2023-11-02,University,6.0,WhatsApp,1.2,TikTok,1.08,Browser,0.96,Instagram,0.84,YouTube,0.72
2023-11-03,Home,3.0,TikTok,0.6,Browser,0.54,Instagram,0.48,YouTube,0.42,WhatsApp,0.36
2023-11-04,University,5.0,Browser,1.0,Instagram,0.9,YouTube,0.8,WhatsApp,0.7,TikTok,0.6
2023-11-05,Home,5.0,Instagram,1.0,YouTube,0.9,WhatsApp,0.8,TikTok,0.7,Browser,0.6
2023-11-06,University,4.0,YouTube,0.8,WhatsApp,0.72,TikTok,0.64,Browser,0.56,Instagram,0.48
2023-11-07,Home,4.0,WhatsApp,0.8,TikTok,0.72,Browser,0.64,Instagram,0.56,YouTube,0.48
2023-11-08,University,6.0,TikTok,1.2,Browser,1.08,Instagram,0.96,YouTube,0.84,WhatsApp,0.72
2023-11-09,Home,3.0,Browser,0.6,Instagram,0.54,YouTube,0.48,WhatsApp,0.42,TikTok,0.36
2023-11-10,University,5.0,Instagram,1.0,YouTube,0.9,WhatsApp,0.8,TikTok,0.7,Browser,0.6
2023-11-11,Home,5.0,YouTube,1.0,WhatsApp,0.9,TikTok,0.8,Browser,0.7,Instagram,0.6
2023-11-12,University,4.0,WhatsApp,0.8,TikTok,0.72,Browser,0.64,Instagram,0.56,YouTube,0.48
2023-11-13,Home,4.0,TikTok,0.8,Browser,0.72,Instagram,0.64,YouTube,0.56,WhatsApp,0.48
2023-11-14,University,6.0,Browser,1.2,Instagram,1.08,YouTube,0.96,WhatsApp,0.84,TikTok,0.72
2023-11-15,Home,3.0,Instagram,0.6,YouTube,0.54,WhatsApp,0.48,TikTok,0.42,Browser,0.36
2023-11-16,University,5.0,YouTube,1.0,WhatsApp,0.9,TikTok,0.8,Browser,0.7,Instagram,0.6
2023-11-17,Home,5.0,WhatsApp,1.0,TikTok,0.9,Browser,0.8,Instagram,0.7,YouTube,0.6
2023-11-18,University,4.0,TikTok,0.8,Browser,0.72,Instagram,0.64,YouTube,0.56,WhatsApp,0.48
2023-11-19,Home,4.0,Browser,0.8,Instagram,0.72,YouTube,0.64,WhatsApp,0.56,TikTok,0.48
2023-11-20,University,6.0,Instagram,1.2,YouTube,1.08,WhatsApp,0.96,TikTok,0.84,Browser,0.72
2023-11-21,Home,3.0,YouTube,0.6,WhatsApp,0.54,TikTok,0.48,Browser,0.42,Instagram,0.36
2023-11-22,University,5.0,WhatsApp,1.0,TikTok,0.9,Browser,0.8,Instagram,0.7,YouTube,0.6
2023-11-23,Home,5.0,TikTok,1.0,Browser,0.9,Instagram,0.8,YouTube,0.7,WhatsApp,0.6
2023-11-24,University,4.0,Browser,0.8,Instagram,0.72,YouTube,0.64,WhatsApp,0.56,TikTok,0.48
2023-11-25,Home,4.0,Instagram,0.8,YouTube,0.72,WhatsApp,0.64,TikTok,0.56,Browser,0.48
2023-11-26,University,6.0,YouTube,1.2,WhatsApp,1.08,TikTok,0.96,Browser,0.84,Instagram,0.72
2023-11-27,Home,3.0,WhatsApp,0.6,TikTok,0.54,Browser,0.48,Instagram,0.42,YouTube,0.36
2023-11-28,University,5.0,TikTok,1.0,Browser,0.9,Instagram,0.8,YouTube,0.7,WhatsApp,0.6
2023-11-29,Home,5.0,Browser,1.0,Instagram,0.9,YouTube,0.8,WhatsApp,0.7,TikTok,0.6
2023-11-30,University,4.0,Instagram,0.8,YouTube,0.72,WhatsApp,0.64,TikTok,0.56,Browser,0.48
